Name,Email,Join Time,Leave Time,Duration,Role
James Williams,james.williams@msc.com,18:13,18:29,16,Participant
Sarah Johnson,sarah.johnson@msc.com,18:14,18:20,6,Participant
Michael Brown,michael.brown@msc.com,18:20,19:24,64,Participant
Emily Davis,emily.davis@msc.com,18:44,18:57,13,Participant
John Miller,john.miller@msc.com,18:31,19:17,46,Participant
Olivia Garcia,olivia.garcia@msc.com,18:55,19:09,14,Participant
David Martinez,david.martinez@msc.com,18:46,20:00,74,Participant
Emma Wilson,emma.wilson@msc.com,18:58,20:00,62,Participant
Daniel Anderson,daniel.anderson@msc.com,18:11,19:16,65,Participant
Sophia Thomas,sophia.thomas@msc.com,18:25,19:11,46,Participant
Robert Taylor,robert.taylor@msc.com,18:05,19:25,80,Participant
Mia Lee,mia.lee@msc.com,18:01,19:10,69,Participant
William Harris,william.harris@msc.com,18:32,20:00,88,Participant
Isabella Clark,isabella.clark@msc.com,18:58,19:20,22,Participant
Joseph Lewis,joseph.lewis@msc.com,18:25,19:52,87,Participant
Charlotte Robinson,charlotte.robinson@msc.com,18:05,18:13,8,Participant
Benjamin Young,benjamin.young@msc.com,18:55,20:00,65,Participant
Amelia Hall,amelia.hall@msc.com,18:36,18:45,9,Participant
Samuel King,samuel.king@msc.com,18:12,18:43,31,Participant
Abigail Scott,abigail.scott@msc.com,18:10,18:37,27,Participant
Alexander Green,alexander.green@msc.com,18:16,18:44,28,Participant
Harper Adams,harper.adams@msc.com,18:13,19:18,65,Participant
Christopher Baker,christopher.baker@msc.com,18:52,20:00,68,Participant
Lily Gonzalez,lily.gonzalez@msc.com,18:44,19:10,26,Participant
Matthew Nelson,matthew.nelson@msc.com,19:00,19:07,7,Participant
Chloe Carter,chloe.carter@msc.com,18:12,19:23,71,Participant
Anthony Mitchell,anthony.mitchell@msc.com,18:44,20:00,76,Participant
Grace Perez,grace.perez@msc.com,18:12,19:53,101,Participant
Joshua Moore,joshua.moore@msc.com,18:13,18:42,29,Participant
Ella White,ella.white@msc.com,18:25,19:54,89,Participant
Andrew Ramirez,andrew.ramirez@msc.com,18:52,20:00,68,Participant
Zoe Walker,zoe.walker@msc.com,18:22,19:27,65,Participant
Nicholas Allen,nicholas.allen@msc.com,18:14,18:44,30,Participant
Layla Rivera,layla.rivera@msc.com,18:07,19:20,73,Participant
Ryan Hill,ryan.hill@msc.com,18:22,18:30,8,Participant
Hannah Wright,hannah.wright@msc.com,18:35,19:27,52,Participant
Justin Flores,justin.flores@msc.com,18:13,18:59,46,Participant
Natalie Collins,natalie.collins@msc.com,18:16,19:13,57,Participant
Ethan Edwards,ethan.edwards@msc.com,18:38,19:53,75,Participant
Aria Turner,aria.turner@msc.com,18:50,20:00,70,Participant
