Name,Email,Join Time,Leave Time,Duration,Role
James Williams,james.williams@msc.com,18:33,19:33,60,Participant
Sarah Johnson,sarah.johnson@msc.com,18:40,20:00,80,Participant
Michael Brown,michael.brown@msc.com,19:00,20:00,60,Participant
Emily Davis,emily.davis@msc.com,18:59,20:00,61,Participant
John Miller,john.miller@msc.com,18:10,19:05,55,Participant
Olivia Garcia,olivia.garcia@msc.com,18:08,19:44,96,Participant
David Martinez,david.martinez@msc.com,18:12,18:31,19,Participant
Emma Wilson,emma.wilson@msc.com,18:22,19:01,39,Participant
Daniel Anderson,daniel.anderson@msc.com,18:52,20:00,68,Participant
Sophia Thomas,sophia.thomas@msc.com,18:39,19:56,77,Participant
Robert Taylor,robert.taylor@msc.com,18:22,19:19,57,Participant
Mia Lee,mia.lee@msc.com,18:58,19:20,22,Participant
William Harris,william.harris@msc.com,18:13,19:51,98,Participant
Isabella Clark,isabella.clark@msc.com,18:58,19:50,52,Participant
Joseph Lewis,joseph.lewis@msc.com,18:42,20:00,78,Participant
Charlotte Robinson,charlotte.robinson@msc.com,18:01,18:21,20,Participant
Benjamin Young,benjamin.young@msc.com,18:52,19:52,60,Participant
Amelia Hall,amelia.hall@msc.com,18:27,20:00,93,Participant
Samuel King,samuel.king@msc.com,18:08,19:34,86,Participant
Abigail Scott,abigail.scott@msc.com,18:41,19:49,68,Participant
Alexander Green,alexander.green@msc.com,18:11,19:31,80,Participant
Harper Adams,harper.adams@msc.com,18:13,19:23,70,Participant
Christopher Baker,christopher.baker@msc.com,18:59,20:00,61,Participant
Lily Gonzalez,lily.gonzalez@msc.com,18:41,19:14,33,Participant
Matthew Nelson,matthew.nelson@msc.com,18:00,18:55,55,Participant
Chloe Carter,chloe.carter@msc.com,18:27,20:00,93,Participant
Anthony Mitchell,anthony.mitchell@msc.com,18:17,18:41,24,Participant
Grace Perez,grace.perez@msc.com,18:12,19:47,95,Participant
Joshua Moore,joshua.moore@msc.com,18:54,19:14,20,Participant
Ella White,ella.white@msc.com,18:42,18:57,15,Participant
Andrew Ramirez,andrew.ramirez@msc.com,18:55,20:00,65,Participant
Zoe Walker,zoe.walker@msc.com,18:39,20:00,81,Participant
Nicholas Allen,nicholas.allen@msc.com,18:25,18:33,8,Participant
Layla Rivera,layla.rivera@msc.com,18:58,20:00,62,Participant
Ryan Hill,ryan.hill@msc.com,18:22,19:45,83,Participant
Hannah Wright,hannah.wright@msc.com,18:42,18:54,12,Participant
Justin Flores,justin.flores@msc.com,18:51,20:00,69,Participant
Natalie Collins,natalie.collins@msc.com,18:01,18:29,28,Participant
Ethan Edwards,ethan.edwards@msc.com,18:00,19:29,89,Participant
Aria Turner,aria.turner@msc.com,18:42,19:07,25,Participant
