Name,Email,Join Time,Leave Time,Duration,Role
James Williams,james.williams@msc.com,18:31,20:00,89,Participant
Sarah Johnson,sarah.johnson@msc.com,19:00,20:00,60,Participant
Michael Brown,michael.brown@msc.com,18:05,18:43,38,Participant
Emily Davis,emily.davis@msc.com,18:28,20:00,92,Participant
John Miller,john.miller@msc.com,18:12,18:21,9,Participant
Olivia Garcia,olivia.garcia@msc.com,18:31,20:00,89,Participant
David Martinez,david.martinez@msc.com,18:23,19:04,41,Participant
Emma Wilson,emma.wilson@msc.com,18:22,20:00,98,Participant
Daniel Anderson,daniel.anderson@msc.com,18:38,19:53,75,Participant
Sophia Thomas,sophia.thomas@msc.com,18:01,18:25,24,Participant
Robert Taylor,robert.taylor@msc.com,18:04,19:50,106,Participant
Mia Lee,mia.lee@msc.com,18:36,19:36,60,Participant
William Harris,william.harris@msc.com,18:33,19:56,83,Participant
Isabella Clark,isabella.clark@msc.com,18:58,19:21,23,Participant
Joseph Lewis,joseph.lewis@msc.com,18:36,19:59,83,Participant
Charlotte Robinson,charlotte.robinson@msc.com,18:03,19:09,66,Participant
Benjamin Young,benjamin.young@msc.com,18:20,20:00,100,Participant
Amelia Hall,amelia.hall@msc.com,18:29,19:35,66,Participant
Samuel King,samuel.king@msc.com,18:29,19:47,78,Participant
Abigail Scott,abigail.scott@msc.com,18:35,18:44,9,Participant
Alexander Green,alexander.green@msc.com,18:57,19:13,16,Participant
Harper Adams,harper.adams@msc.com,18:18,20:00,102,Participant
Christopher Baker,christopher.baker@msc.com,18:07,18:27,20,Participant
Lily Gonzalez,lily.gonzalez@msc.com,18:47,19:43,56,Participant
Matthew Nelson,matthew.nelson@msc.com,18:08,19:29,81,Participant
Chloe Carter,chloe.carter@msc.com,18:45,19:02,17,Participant
Anthony Mitchell,anthony.mitchell@msc.com,19:00,20:00,60,Participant
Grace Perez,grace.perez@msc.com,18:14,19:08,54,Participant
Joshua Moore,joshua.moore@msc.com,18:52,20:00,68,Participant
Ella White,ella.white@msc.com,18:46,20:00,74,Participant
Andrew Ramirez,andrew.ramirez@msc.com,18:43,20:00,77,Participant
Zoe Walker,zoe.walker@msc.com,18:07,19:56,109,Participant
Nicholas Allen,nicholas.allen@msc.com,18:49,18:54,5,Participant
Layla Rivera,layla.rivera@msc.com,18:56,19:44,48,Participant
Ryan Hill,ryan.hill@msc.com,18:41,19:02,21,Participant
Hannah Wright,hannah.wright@msc.com,18:47,19:23,36,Participant
Justin Flores,justin.flores@msc.com,18:33,19:47,74,Participant
Natalie Collins,natalie.collins@msc.com,18:38,19:49,71,Participant
Ethan Edwards,ethan.edwards@msc.com,18:11,19:00,49,Participant
Aria Turner,aria.turner@msc.com,19:00,19:54,54,Participant
