Name,Email,Join Time,Leave Time,Duration,Role
James Williams,james.williams@msc.com,18:13,20:00,107,Participant
Sarah Johnson,sarah.johnson@msc.com,18:49,19:30,41,Participant
Michael Brown,michael.brown@msc.com,18:28,20:00,92,Participant
Emily Davis,emily.davis@msc.com,18:32,18:41,9,Participant
John Miller,john.miller@msc.com,18:48,19:07,19,Participant
Olivia Garcia,olivia.garcia@msc.com,18:48,19:29,41,Participant
David Martinez,david.martinez@msc.com,18:55,19:44,49,Participant
Emma Wilson,emma.wilson@msc.com,18:08,18:56,48,Participant
Daniel Anderson,daniel.anderson@msc.com,18:25,20:00,95,Participant
Sophia Thomas,sophia.thomas@msc.com,18:53,19:24,31,Participant
Robert Taylor,robert.taylor@msc.com,18:03,18:26,23,Participant
Mia Lee,mia.lee@msc.com,18:38,18:53,15,Participant
William Harris,william.harris@msc.com,18:39,18:49,10,Participant
Isabella Clark,isabella.clark@msc.com,18:40,20:00,80,Participant
Joseph Lewis,joseph.lewis@msc.com,18:47,19:25,38,Participant
Charlotte Robinson,charlotte.robinson@msc.com,18:36,19:04,28,Participant
Benjamin Young,benjamin.young@msc.com,18:02,18:51,49,Participant
Amelia Hall,amelia.hall@msc.com,18:45,20:00,75,Participant
Samuel King,samuel.king@msc.com,18:43,19:21,38,Participant
Abigail Scott,abigail.scott@msc.com,18:16,20:00,104,Participant
Alexander Green,alexander.green@msc.com,18:35,20:00,85,Participant
Harper Adams,harper.adams@msc.com,18:02,18:59,57,Participant
Christopher Baker,christopher.baker@msc.com,18:17,18:41,24,Participant
Lily Gonzalez,lily.gonzalez@msc.com,18:54,19:19,25,Participant
Matthew Nelson,matthew.nelson@msc.com,18:08,19:45,97,Participant
Chloe Carter,chloe.carter@msc.com,18:53,20:00,67,Participant
Anthony Mitchell,anthony.mitchell@msc.com,18:24,19:26,62,Participant
Grace Perez,grace.perez@msc.com,18:34,18:57,23,Participant
Joshua Moore,joshua.moore@msc.com,18:29,19:42,73,Participant
Ella White,ella.white@msc.com,18:30,18:44,14,Participant
Andrew Ramirez,andrew.ramirez@msc.com,18:45,18:53,8,Participant
Zoe Walker,zoe.walker@msc.com,18:24,18:45,21,Participant
Nicholas Allen,nicholas.allen@msc.com,18:47,19:37,50,Participant
Layla Rivera,layla.rivera@msc.com,19:00,20:00,60,Participant
Ryan Hill,ryan.hill@msc.com,18:31,19:55,84,Participant
Hannah Wright,hannah.wright@msc.com,18:37,19:21,44,Participant
Justin Flores,justin.flores@msc.com,18:54,20:00,66,Participant
Natalie Collins,natalie.collins@msc.com,18:04,18:46,42,Participant
Ethan Edwards,ethan.edwards@msc.com,18:38,20:00,82,Participant
Aria Turner,aria.turner@msc.com,18:09,18:49,40,Participant
