Name,Email,Join Time,Leave Time,Duration,Role
James Williams,james.williams@msc.com,18:00,19:08,68,Participant
Sarah Johnson,sarah.johnson@msc.com,18:43,19:58,75,Participant
Michael Brown,michael.brown@msc.com,18:11,19:44,93,Participant
Emily Davis,emily.davis@msc.com,18:58,20:00,62,Participant
John Miller,john.miller@msc.com,18:48,20:00,72,Participant
Olivia Garcia,olivia.garcia@msc.com,18:07,18:18,11,Participant
David Martinez,david.martinez@msc.com,18:14,19:26,72,Participant
Emma Wilson,emma.wilson@msc.com,18:47,19:29,42,Participant
Daniel Anderson,daniel.anderson@msc.com,18:28,18:40,12,Participant
Sophia Thomas,sophia.thomas@msc.com,18:28,19:06,38,Participant
Robert Taylor,robert.taylor@msc.com,18:05,19:34,89,Participant
Mia Lee,mia.lee@msc.com,18:04,19:54,110,Participant
William Harris,william.harris@msc.com,18:06,18:50,44,Participant
Isabella Clark,isabella.clark@msc.com,18:42,20:00,78,Participant
Joseph Lewis,joseph.lewis@msc.com,18:00,19:20,80,Participant
Charlotte Robinson,charlotte.robinson@msc.com,18:32,20:00,88,Participant
Benjamin Young,benjamin.young@msc.com,18:55,20:00,65,Participant
Amelia Hall,amelia.hall@msc.com,18:13,19:30,77,Participant
Samuel King,samuel.king@msc.com,18:37,20:00,83,Participant
Abigail Scott,abigail.scott@msc.com,18:38,19:35,57,Participant
Alexander Green,alexander.green@msc.com,18:43,20:00,77,Participant
Harper Adams,harper.adams@msc.com,18:44,19:36,52,Participant
Christopher Baker,christopher.baker@msc.com,18:48,19:53,65,Participant
Lily Gonzalez,lily.gonzalez@msc.com,18:09,18:47,38,Participant
Matthew Nelson,matthew.nelson@msc.com,18:10,19:24,74,Participant
Chloe Carter,chloe.carter@msc.com,18:16,19:33,77,Participant
Anthony Mitchell,anthony.mitchell@msc.com,18:28,19:55,87,Participant
Grace Perez,grace.perez@msc.com,18:08,18:16,8,Participant
Joshua Moore,joshua.moore@msc.com,18:59,20:00,61,Participant
Ella White,ella.white@msc.com,18:48,19:29,41,Participant
Andrew Ramirez,andrew.ramirez@msc.com,18:54,19:15,21,Participant
Zoe Walker,zoe.walker@msc.com,18:04,18:18,14,Participant
Nicholas Allen,nicholas.allen@msc.com,18:18,19:27,69,Participant
Layla Rivera,layla.rivera@msc.com,18:49,19:26,37,Participant
Ryan Hill,ryan.hill@msc.com,18:08,18:16,8,Participant
Hannah Wright,hannah.wright@msc.com,18:22,18:30,8,Participant
Justin Flores,justin.flores@msc.com,18:30,19:33,63,Participant
Natalie Collins,natalie.collins@msc.com,18:42,19:19,37,Participant
Ethan Edwards,ethan.edwards@msc.com,18:15,19:08,53,Participant
Aria Turner,aria.turner@msc.com,18:15,18:21,6,Participant
