Name,Email,Join Time,Leave Time,Duration,Role
James Williams,james.williams@msc.com,18:44,19:48,64,Participant
Sarah Johnson,sarah.johnson@msc.com,18:26,18:39,13,Participant
Michael Brown,michael.brown@msc.com,18:34,20:00,86,Participant
Emily Davis,emily.davis@msc.com,18:23,18:38,15,Participant
John Miller,john.miller@msc.com,18:19,18:43,24,Participant
Olivia Garcia,olivia.garcia@msc.com,18:22,18:49,27,Participant
David Martinez,david.martinez@msc.com,18:37,20:00,83,Participant
Emma Wilson,emma.wilson@msc.com,18:19,19:37,78,Participant
Daniel Anderson,daniel.anderson@msc.com,18:58,20:00,62,Participant
Sophia Thomas,sophia.thomas@msc.com,18:28,19:43,75,Participant
Robert Taylor,robert.taylor@msc.com,18:30,18:38,8,Participant
Mia Lee,mia.lee@msc.com,18:52,19:59,67,Participant
William Harris,william.harris@msc.com,18:03,18:54,51,Participant
Isabella Clark,isabella.clark@msc.com,18:43,20:00,77,Participant
Joseph Lewis,joseph.lewis@msc.com,18:46,19:10,24,Participant
Charlotte Robinson,charlotte.robinson@msc.com,18:02,19:15,73,Participant
Benjamin Young,benjamin.young@msc.com,18:54,19:13,19,Participant
Amelia Hall,amelia.hall@msc.com,18:57,19:40,43,Participant
Samuel King,samuel.king@msc.com,18:38,20:00,82,Participant
Abigail Scott,abigail.scott@msc.com,18:39,19:59,80,Participant
Alexander Green,alexander.green@msc.com,18:23,18:29,6,Participant
Harper Adams,harper.adams@msc.com,18:47,20:00,73,Participant
Christopher Baker,christopher.baker@msc.com,18:37,20:00,83,Participant
Lily Gonzalez,lily.gonzalez@msc.com,18:16,19:41,85,Participant
Matthew Nelson,matthew.nelson@msc.com,18:59,20:00,61,Participant
Chloe Carter,chloe.carter@msc.com,18:25,19:50,85,Participant
Anthony Mitchell,anthony.mitchell@msc.com,18:40,20:00,80,Participant
Grace Perez,grace.perez@msc.com,18:04,20:00,116,Participant
Joshua Moore,joshua.moore@msc.com,18:49,20:00,71,Participant
Ella White,ella.white@msc.com,18:20,18:58,38,Participant
Andrew Ramirez,andrew.ramirez@msc.com,18:21,19:09,48,Participant
Zoe Walker,zoe.walker@msc.com,18:34,20:00,86,Participant
Nicholas Allen,nicholas.allen@msc.com,18:32,18:47,15,Participant
Layla Rivera,layla.rivera@msc.com,18:10,18:24,14,Participant
Ryan Hill,ryan.hill@msc.com,18:07,18:51,44,Participant
Hannah Wright,hannah.wright@msc.com,18:27,19:33,66,Participant
Justin Flores,justin.flores@msc.com,18:12,18:37,25,Participant
Natalie Collins,natalie.collins@msc.com,18:51,20:00,69,Participant
Ethan Edwards,ethan.edwards@msc.com,18:10,19:16,66,Participant
Aria Turner,aria.turner@msc.com,18:42,20:00,78,Participant
