Name,Email,Join Time,Leave Time,Duration,Role
James Williams,james.williams@msc.com,18:36,18:46,10,Participant
Sarah Johnson,sarah.johnson@msc.com,18:57,20:00,63,Participant
Michael Brown,michael.brown@msc.com,18:21,20:00,99,Participant
Emily Davis,emily.davis@msc.com,18:39,19:33,54,Participant
John Miller,john.miller@msc.com,18:20,20:00,100,Participant
Olivia Garcia,olivia.garcia@msc.com,18:31,19:10,39,Participant
David Martinez,david.martinez@msc.com,18:50,19:45,55,Participant
Emma Wilson,emma.wilson@msc.com,18:33,19:02,29,Participant
Daniel Anderson,daniel.anderson@msc.com,18:40,19:08,28,Participant
Sophia Thomas,sophia.thomas@msc.com,18:23,20:00,97,Participant
Robert Taylor,robert.taylor@msc.com,18:21,19:37,76,Participant
Mia Lee,mia.lee@msc.com,18:08,20:00,112,Participant
William Harris,william.harris@msc.com,18:46,20:00,74,Participant
Isabella Clark,isabella.clark@msc.com,18:59,19:38,39,Participant
Joseph Lewis,joseph.lewis@msc.com,18:18,18:32,14,Participant
Charlotte Robinson,charlotte.robinson@msc.com,18:33,20:00,87,Participant
Benjamin Young,benjamin.young@msc.com,18:16,19:52,96,Participant
Amelia Hall,amelia.hall@msc.com,18:47,20:00,73,Participant
Samuel King,samuel.king@msc.com,18:11,18:53,42,Participant
Abigail Scott,abigail.scott@msc.com,18:40,20:00,80,Participant
Alexander Green,alexander.green@msc.com,18:57,19:13,16,Participant
Harper Adams,harper.adams@msc.com,18:36,18:42,6,Participant
Christopher Baker,christopher.baker@msc.com,18:35,20:00,85,Participant
Lily Gonzalez,lily.gonzalez@msc.com,18:23,18:56,33,Participant
Matthew Nelson,matthew.nelson@msc.com,19:00,19:27,27,Participant
Chloe Carter,chloe.carter@msc.com,18:09,19:17,68,Participant
Anthony Mitchell,anthony.mitchell@msc.com,18:24,19:30,66,Participant
Grace Perez,grace.perez@msc.com,18:30,20:00,90,Participant
Joshua Moore,joshua.moore@msc.com,18:37,18:45,8,Participant
Ella White,ella.white@msc.com,18:29,19:22,53,Participant
Andrew Ramirez,andrew.ramirez@msc.com,18:26,18:53,27,Participant
Zoe Walker,zoe.walker@msc.com,18:32,19:22,50,Participant
Nicholas Allen,nicholas.allen@msc.com,18:56,20:00,64,Participant
Layla Rivera,layla.rivera@msc.com,18:12,19:31,79,Participant
Ryan Hill,ryan.hill@msc.com,18:58,20:00,62,Participant
Hannah Wright,hannah.wright@msc.com,18:39,20:00,81,Participant
Justin Flores,justin.flores@msc.com,18:32,20:00,88,Participant
Natalie Collins,natalie.collins@msc.com,18:43,20:00,77,Participant
Ethan Edwards,ethan.edwards@msc.com,19:00,20:00,60,Participant
Aria Turner,aria.turner@msc.com,18:01,19:21,80,Participant
