Name,Email,Join Time,Leave Time,Duration,Role
James Williams,james.williams@msc.com,18:16,20:00,104,Participant
Sarah Johnson,sarah.johnson@msc.com,18:41,20:00,79,Participant
Michael Brown,michael.brown@msc.com,18:04,19:03,59,Participant
Emily Davis,emily.davis@msc.com,18:23,19:46,83,Participant
John Miller,john.miller@msc.com,18:55,19:23,28,Participant
Olivia Garcia,olivia.garcia@msc.com,18:27,19:55,88,Participant
David Martinez,david.martinez@msc.com,18:11,19:27,76,Participant
Emma Wilson,emma.wilson@msc.com,18:38,20:00,82,Participant
Daniel Anderson,daniel.anderson@msc.com,18:05,18:51,46,Participant
Sophia Thomas,sophia.thomas@msc.com,19:00,19:32,32,Participant
Robert Taylor,robert.taylor@msc.com,18:33,20:00,87,Participant
Mia Lee,mia.lee@msc.com,18:47,19:03,16,Participant
William Harris,william.harris@msc.com,18:02,19:23,81,Participant
Isabella Clark,isabella.clark@msc.com,18:58,20:00,62,Participant
Joseph Lewis,joseph.lewis@msc.com,18:32,20:00,88,Participant
Charlotte Robinson,charlotte.robinson@msc.com,18:28,20:00,92,Participant
Benjamin Young,benjamin.young@msc.com,18:52,19:17,25,Participant
Amelia Hall,amelia.hall@msc.com,18:56,19:34,38,Participant
Samuel King,samuel.king@msc.com,18:31,18:58,27,Participant
Abigail Scott,abigail.scott@msc.com,18:46,19:33,47,Participant
Alexander Green,alexander.green@msc.com,18:47,19:43,56,Participant
Harper Adams,harper.adams@msc.com,18:40,20:00,80,Participant
Christopher Baker,christopher.baker@msc.com,18:16,19:45,89,Participant
Lily Gonzalez,lily.gonzalez@msc.com,18:19,18:27,8,Participant
Matthew Nelson,matthew.nelson@msc.com,18:25,19:51,86,Participant
Chloe Carter,chloe.carter@msc.com,18:07,20:00,113,Participant
Anthony Mitchell,anthony.mitchell@msc.com,18:13,19:59,106,Participant
Grace Perez,grace.perez@msc.com,18:43,20:00,77,Participant
Joshua Moore,joshua.moore@msc.com,18:28,18:57,29,Participant
Ella White,ella.white@msc.com,18:49,20:00,71,Participant
Andrew Ramirez,andrew.ramirez@msc.com,18:10,19:36,86,Participant
Zoe Walker,zoe.walker@msc.com,18:39,19:07,28,Participant
Nicholas Allen,nicholas.allen@msc.com,18:53,20:00,67,Participant
Layla Rivera,layla.rivera@msc.com,18:37,19:51,74,Participant
Ryan Hill,ryan.hill@msc.com,18:21,18:28,7,Participant
Hannah Wright,hannah.wright@msc.com,18:43,20:00,77,Participant
Justin Flores,justin.flores@msc.com,18:12,18:24,12,Participant
Natalie Collins,natalie.collins@msc.com,18:06,18:13,7,Participant
Ethan Edwards,ethan.edwards@msc.com,18:57,20:00,63,Participant
Aria Turner,aria.turner@msc.com,18:47,19:12,25,Participant
