Name,Email,Join Time,Leave Time,Duration,Role
James Williams,james.williams@msc.com,18:58,20:00,62,Participant
Sarah Johnson,sarah.johnson@msc.com,18:32,18:59,27,Participant
Michael Brown,michael.brown@msc.com,18:42,20:00,78,Participant
Emily Davis,emily.davis@msc.com,18:43,19:55,72,Participant
John Miller,john.miller@msc.com,18:27,18:36,9,Participant
Olivia Garcia,olivia.garcia@msc.com,18:40,19:43,63,Participant
David Martinez,david.martinez@msc.com,18:26,20:00,94,Participant
Emma Wilson,emma.wilson@msc.com,18:52,19:49,57,Participant
Daniel Anderson,daniel.anderson@msc.com,18:06,18:34,28,Participant
Sophia Thomas,sophia.thomas@msc.com,18:13,19:12,59,Participant
Robert Taylor,robert.taylor@msc.com,18:05,18:40,35,Participant
Mia Lee,mia.lee@msc.com,18:51,18:57,6,Participant
William Harris,william.harris@msc.com,18:07,19:22,75,Participant
Isabella Clark,isabella.clark@msc.com,18:18,19:29,71,Participant
Joseph Lewis,joseph.lewis@msc.com,18:15,18:45,30,Participant
Charlotte Robinson,charlotte.robinson@msc.com,18:52,20:00,68,Participant
Benjamin Young,benjamin.young@msc.com,18:10,19:14,64,Participant
Amelia Hall,amelia.hall@msc.com,18:24,19:50,86,Participant
Samuel King,samuel.king@msc.com,18:44,20:00,76,Participant
Abigail Scott,abigail.scott@msc.com,18:46,20:00,74,Participant
Alexander Green,alexander.green@msc.com,18:58,19:21,23,Participant
Harper Adams,harper.adams@msc.com,18:15,18:49,34,Participant
Christopher Baker,christopher.baker@msc.com,18:45,20:00,75,Participant
Lily Gonzalez,lily.gonzalez@msc.com,18:08,19:34,86,Participant
Matthew Nelson,matthew.nelson@msc.com,18:44,18:58,14,Participant
Chloe Carter,chloe.carter@msc.com,18:44,19:10,26,Participant
Anthony Mitchell,anthony.mitchell@msc.com,18:59,20:00,61,Participant
Grace Perez,grace.perez@msc.com,18:10,18:23,13,Participant
Joshua Moore,joshua.moore@msc.com,18:03,18:38,35,Participant
Ella White,ella.white@msc.com,18:17,19:16,59,Participant
Andrew Ramirez,andrew.ramirez@msc.com,18:16,18:59,43,Participant
Zoe Walker,zoe.walker@msc.com,18:59,20:00,61,Participant
Nicholas Allen,nicholas.allen@msc.com,18:48,19:53,65,Participant
Layla Rivera,layla.rivera@msc.com,18:03,19:57,114,Participant
Ryan Hill,ryan.hill@msc.com,18:12,18:48,36,Participant
Hannah Wright,hannah.wright@msc.com,18:23,19:59,96,Participant
Justin Flores,justin.flores@msc.com,18:59,20:00,61,Participant
Natalie Collins,natalie.collins@msc.com,18:17,18:48,31,Participant
Ethan Edwards,ethan.edwards@msc.com,18:46,19:36,50,Participant
Aria Turner,aria.turner@msc.com,18:04,18:09,5,Participant
