Name,Email,Join Time,Leave Time,Duration,Role
James Williams,james.williams@msc.com,18:24,19:16,52,Participant
Sarah Johnson,sarah.johnson@msc.com,18:10,20:00,110,Participant
Michael Brown,michael.brown@msc.com,18:20,20:00,100,Participant
Emily Davis,emily.davis@msc.com,18:11,18:25,14,Participant
John Miller,john.miller@msc.com,18:01,19:15,74,Participant
Olivia Garcia,olivia.garcia@msc.com,18:56,20:00,64,Participant
David Martinez,david.martinez@msc.com,18:10,20:00,110,Participant
Emma Wilson,emma.wilson@msc.com,18:14,18:57,43,Participant
Daniel Anderson,daniel.anderson@msc.com,18:49,19:39,50,Participant
Sophia Thomas,sophia.thomas@msc.com,18:15,18:56,41,Participant
Robert Taylor,robert.taylor@msc.com,18:27,19:06,39,Participant
Mia Lee,mia.lee@msc.com,18:34,19:10,36,Participant
William Harris,william.harris@msc.com,18:35,20:00,85,Participant
Isabella Clark,isabella.clark@msc.com,18:34,19:07,33,Participant
Joseph Lewis,joseph.lewis@msc.com,18:40,19:35,55,Participant
Charlotte Robinson,charlotte.robinson@msc.com,18:24,18:59,35,Participant
Benjamin Young,benjamin.young@msc.com,18:13,20:00,107,Participant
Amelia Hall,amelia.hall@msc.com,18:42,18:48,6,Participant
Samuel King,samuel.king@msc.com,18:52,19:22,30,Participant
Abigail Scott,abigail.scott@msc.com,18:51,19:39,48,Participant
Alexander Green,alexander.green@msc.com,18:36,19:24,48,Participant
Harper Adams,harper.adams@msc.com,18:27,20:00,93,Participant
Christopher Baker,christopher.baker@msc.com,18:56,20:00,64,Participant
Lily Gonzalez,lily.gonzalez@msc.com,18:04,19:54,110,Participant
Matthew Nelson,matthew.nelson@msc.com,18:30,19:27,57,Participant
Chloe Carter,chloe.carter@msc.com,18:48,20:00,72,Participant
Anthony Mitchell,anthony.mitchell@msc.com,18:22,19:04,42,Participant
Grace Perez,grace.perez@msc.com,18:22,18:57,35,Participant
Joshua Moore,joshua.moore@msc.com,18:36,20:00,84,Participant
Ella White,ella.white@msc.com,18:40,20:00,80,Participant
Andrew Ramirez,andrew.ramirez@msc.com,18:37,20:00,83,Participant
Zoe Walker,zoe.walker@msc.com,18:18,19:44,86,Participant
Nicholas Allen,nicholas.allen@msc.com,18:33,20:00,87,Participant
Layla Rivera,layla.rivera@msc.com,18:07,18:58,51,Participant
Ryan Hill,ryan.hill@msc.com,18:48,20:00,72,Participant
Hannah Wright,hannah.wright@msc.com,18:06,19:16,70,Participant
Justin Flores,justin.flores@msc.com,18:57,19:29,32,Participant
Natalie Collins,natalie.collins@msc.com,18:41,20:00,79,Participant
Ethan Edwards,ethan.edwards@msc.com,18:29,19:41,72,Participant
Aria Turner,aria.turner@msc.com,18:22,19:19,57,Participant
