Name,Email,Join Time,Leave Time,Duration,Role
James Williams,james.williams@msc.com,18:04,18:31,27,Participant
Sarah Johnson,sarah.johnson@msc.com,18:19,20:00,101,Participant
Michael Brown,michael.brown@msc.com,18:45,19:39,54,Participant
Emily Davis,emily.davis@msc.com,18:59,20:00,61,Participant
John Miller,john.miller@msc.com,18:01,18:11,10,Participant
Olivia Garcia,olivia.garcia@msc.com,18:48,18:53,5,Participant
David Martinez,david.martinez@msc.com,18:26,20:00,94,Participant
Emma Wilson,emma.wilson@msc.com,18:37,19:40,63,Participant
Daniel Anderson,daniel.anderson@msc.com,18:37,19:36,59,Participant
Sophia Thomas,sophia.thomas@msc.com,18:05,19:43,98,Participant
Robert Taylor,robert.taylor@msc.com,18:55,20:00,65,Participant
Mia Lee,mia.lee@msc.com,18:54,19:47,53,Participant
William Harris,william.harris@msc.com,18:35,19:22,47,Participant
Isabella Clark,isabella.clark@msc.com,18:00,19:20,80,Participant
Joseph Lewis,joseph.lewis@msc.com,18:19,18:46,27,Participant
Charlotte Robinson,charlotte.robinson@msc.com,18:20,19:18,58,Participant
Benjamin Young,benjamin.young@msc.com,18:21,18:43,22,Participant
Amelia Hall,amelia.hall@msc.com,18:51,20:00,69,Participant
Samuel King,samuel.king@msc.com,18:42,19:35,53,Participant
Abigail Scott,abigail.scott@msc.com,18:25,19:59,94,Participant
Alexander Green,alexander.green@msc.com,18:12,19:20,68,Participant
Harper Adams,harper.adams@msc.com,18:25,18:53,28,Participant
Christopher Baker,christopher.baker@msc.com,18:18,19:35,77,Participant
Lily Gonzalez,lily.gonzalez@msc.com,18:57,19:53,56,Participant
Matthew Nelson,matthew.nelson@msc.com,18:07,19:44,97,Participant
Chloe Carter,chloe.carter@msc.com,18:45,20:00,75,Participant
Anthony Mitchell,anthony.mitchell@msc.com,18:19,19:47,88,Participant
Grace Perez,grace.perez@msc.com,18:29,18:42,13,Participant
Joshua Moore,joshua.moore@msc.com,18:06,19:41,95,Participant
Ella White,ella.white@msc.com,18:33,19:08,35,Participant
Andrew Ramirez,andrew.ramirez@msc.com,18:10,20:00,110,Participant
Zoe Walker,zoe.walker@msc.com,18:34,20:00,86,Participant
Nicholas Allen,nicholas.allen@msc.com,18:37,19:49,72,Participant
Layla Rivera,layla.rivera@msc.com,18:32,19:22,50,Participant
Ryan Hill,ryan.hill@msc.com,18:00,19:21,81,Participant
Hannah Wright,hannah.wright@msc.com,18:09,18:18,9,Participant
Justin Flores,justin.flores@msc.com,18:24,19:51,87,Participant
Natalie Collins,natalie.collins@msc.com,19:00,19:43,43,Participant
Ethan Edwards,ethan.edwards@msc.com,18:01,19:06,65,Participant
Aria Turner,aria.turner@msc.com,18:11,19:40,89,Participant
