Name,Email,Join Time,Leave Time,Duration,Role
James Williams,james.williams@msc.com,18:39,19:40,61,Participant
Sarah Johnson,sarah.johnson@msc.com,18:23,18:40,17,Participant
Michael Brown,michael.brown@msc.com,18:32,19:01,29,Participant
Emily Davis,emily.davis@msc.com,18:01,19:42,101,Participant
John Miller,john.miller@msc.com,18:59,19:10,11,Participant
Olivia Garcia,olivia.garcia@msc.com,18:12,18:59,47,Participant
David Martinez,david.martinez@msc.com,18:49,20:00,71,Participant
Emma Wilson,emma.wilson@msc.com,18:42,20:00,78,Participant
Daniel Anderson,daniel.anderson@msc.com,18:20,18:43,23,Participant
Sophia Thomas,sophia.thomas@msc.com,18:24,18:40,16,Participant
Robert Taylor,robert.taylor@msc.com,18:33,19:57,84,Participant
Mia Lee,mia.lee@msc.com,18:57,19:44,47,Participant
William Harris,william.harris@msc.com,18:20,19:39,79,Participant
Isabella Clark,isabella.clark@msc.com,18:47,20:00,73,Participant
Joseph Lewis,joseph.lewis@msc.com,19:00,19:06,6,Participant
Charlotte Robinson,charlotte.robinson@msc.com,18:34,19:34,60,Participant
Benjamin Young,benjamin.young@msc.com,18:12,19:59,107,Participant
Amelia Hall,amelia.hall@msc.com,18:29,20:00,91,Participant
Samuel King,samuel.king@msc.com,18:53,20:00,67,Participant
Abigail Scott,abigail.scott@msc.com,18:41,19:34,53,Participant
Alexander Green,alexander.green@msc.com,18:08,19:06,58,Participant
Harper Adams,harper.adams@msc.com,18:20,19:36,76,Participant
Christopher Baker,christopher.baker@msc.com,18:38,19:43,65,Participant
Lily Gonzalez,lily.gonzalez@msc.com,18:30,20:00,90,Participant
Matthew Nelson,matthew.nelson@msc.com,18:04,18:19,15,Participant
Chloe Carter,chloe.carter@msc.com,18:35,20:00,85,Participant
Anthony Mitchell,anthony.mitchell@msc.com,18:32,20:00,88,Participant
Grace Perez,grace.perez@msc.com,18:22,19:24,62,Participant
Joshua Moore,joshua.moore@msc.com,18:16,20:00,104,Participant
Ella White,ella.white@msc.com,18:37,18:50,13,Participant
Andrew Ramirez,andrew.ramirez@msc.com,19:00,20:00,60,Participant
Zoe Walker,zoe.walker@msc.com,18:26,19:56,90,Participant
Nicholas Allen,nicholas.allen@msc.com,18:36,18:50,14,Participant
Layla Rivera,layla.rivera@msc.com,18:02,19:37,95,Participant
Ryan Hill,ryan.hill@msc.com,18:29,19:00,31,Participant
Hannah Wright,hannah.wright@msc.com,18:44,20:00,76,Participant
Justin Flores,justin.flores@msc.com,18:36,20:00,84,Participant
Natalie Collins,natalie.collins@msc.com,18:38,19:02,24,Participant
Ethan Edwards,ethan.edwards@msc.com,18:48,19:51,63,Participant
Aria Turner,aria.turner@msc.com,18:07,18:13,6,Participant
