Name,Email,Join Time,Leave Time,Duration,Role
James Williams,james.williams@msc.com,18:30,19:04,34,Participant
Sarah Johnson,sarah.johnson@msc.com,18:59,20:00,61,Participant
Michael Brown,michael.brown@msc.com,18:34,20:00,86,Participant
Emily Davis,emily.davis@msc.com,18:42,20:00,78,Participant
John Miller,john.miller@msc.com,18:30,18:37,7,Participant
Olivia Garcia,olivia.garcia@msc.com,18:03,19:14,71,Participant
David Martinez,david.martinez@msc.com,18:18,18:59,41,Participant
Emma Wilson,emma.wilson@msc.com,18:45,19:45,60,Participant
Daniel Anderson,daniel.anderson@msc.com,18:47,19:05,18,Participant
Sophia Thomas,sophia.thomas@msc.com,18:09,19:20,71,Participant
Robert Taylor,robert.taylor@msc.com,18:46,20:00,74,Participant
Mia Lee,mia.lee@msc.com,18:11,18:41,30,Participant
William Harris,william.harris@msc.com,18:32,19:45,73,Participant
Isabella Clark,isabella.clark@msc.com,18:27,19:34,67,Participant
Joseph Lewis,joseph.lewis@msc.com,18:11,18:39,28,Participant
Charlotte Robinson,charlotte.robinson@msc.com,18:35,20:00,85,Participant
Benjamin Young,benjamin.young@msc.com,18:21,18:33,12,Participant
Amelia Hall,amelia.hall@msc.com,18:43,20:00,77,Participant
Samuel King,samuel.king@msc.com,18:02,18:44,42,Participant
Abigail Scott,abigail.scott@msc.com,18:33,19:33,60,Participant
Alexander Green,alexander.green@msc.com,18:42,19:45,63,Participant
Harper Adams,harper.adams@msc.com,18:57,19:02,5,Participant
Christopher Baker,christopher.baker@msc.com,18:16,19:48,92,Participant
Lily Gonzalez,lily.gonzalez@msc.com,18:57,20:00,63,Participant
Matthew Nelson,matthew.nelson@msc.com,18:03,19:36,93,Participant
Chloe Carter,chloe.carter@msc.com,18:55,20:00,65,Participant
Anthony Mitchell,anthony.mitchell@msc.com,18:52,19:26,34,Participant
Grace Perez,grace.perez@msc.com,18:33,19:23,50,Participant
Joshua Moore,joshua.moore@msc.com,18:16,18:46,30,Participant
Ella White,ella.white@msc.com,18:15,18:59,44,Participant
Andrew Ramirez,andrew.ramirez@msc.com,18:02,19:44,102,Participant
Zoe Walker,zoe.walker@msc.com,18:08,19:59,111,Participant
Nicholas Allen,nicholas.allen@msc.com,18:51,20:00,69,Participant
Layla Rivera,layla.rivera@msc.com,18:56,20:00,64,Participant
Ryan Hill,ryan.hill@msc.com,18:51,20:00,69,Participant
Hannah Wright,hannah.wright@msc.com,18:40,19:31,51,Participant
Justin Flores,justin.flores@msc.com,18:33,19:09,36,Participant
Natalie Collins,natalie.collins@msc.com,18:00,18:55,55,Participant
Ethan Edwards,ethan.edwards@msc.com,18:05,18:53,48,Participant
Aria Turner,aria.turner@msc.com,19:00,20:00,60,Participant
