Name,Email,Join Time,Leave Time,Duration,Role
James Williams,james.williams@msc.com,18:54,20:00,66,Participant
Sarah Johnson,sarah.johnson@msc.com,18:52,20:00,68,Participant
Michael Brown,michael.brown@msc.com,18:57,20:00,63,Participant
Emily Davis,emily.davis@msc.com,18:47,19:25,38,Participant
John Miller,john.miller@msc.com,18:30,20:00,90,Participant
Olivia Garcia,olivia.garcia@msc.com,18:08,19:13,65,Participant
David Martinez,david.martinez@msc.com,18:53,20:00,67,Participant
Emma Wilson,emma.wilson@msc.com,18:07,19:30,83,Participant
Daniel Anderson,daniel.anderson@msc.com,18:04,18:52,48,Participant
Sophia Thomas,sophia.thomas@msc.com,18:47,19:02,15,Participant
Robert Taylor,robert.taylor@msc.com,18:34,19:01,27,Participant
Mia Lee,mia.lee@msc.com,18:52,19:32,40,Participant
William Harris,william.harris@msc.com,18:27,20:00,93,Participant
Isabella Clark,isabella.clark@msc.com,18:43,19:58,75,Participant
Joseph Lewis,joseph.lewis@msc.com,18:59,20:00,61,Participant
Charlotte Robinson,charlotte.robinson@msc.com,18:15,19:42,87,Participant
Benjamin Young,benjamin.young@msc.com,18:34,19:08,34,Participant
Amelia Hall,amelia.hall@msc.com,18:20,20:00,100,Participant
Samuel King,samuel.king@msc.com,18:03,18:52,49,Participant
Abigail Scott,abigail.scott@msc.com,18:13,18:26,13,Participant
Alexander Green,alexander.green@msc.com,18:29,19:08,39,Participant
Harper Adams,harper.adams@msc.com,18:21,19:08,47,Participant
Christopher Baker,christopher.baker@msc.com,18:40,20:00,80,Participant
Lily Gonzalez,lily.gonzalez@msc.com,18:04,18:29,25,Participant
Matthew Nelson,matthew.nelson@msc.com,18:38,19:23,45,Participant
Chloe Carter,chloe.carter@msc.com,18:09,19:51,102,Participant
Anthony Mitchell,anthony.mitchell@msc.com,18:45,19:33,48,Participant
Grace Perez,grace.perez@msc.com,18:15,18:38,23,Participant
Joshua Moore,joshua.moore@msc.com,18:02,18:54,52,Participant
Ella White,ella.white@msc.com,18:32,20:00,88,Participant
Andrew Ramirez,andrew.ramirez@msc.com,18:22,20:00,98,Participant
Zoe Walker,zoe.walker@msc.com,18:26,19:42,76,Participant
Nicholas Allen,nicholas.allen@msc.com,18:10,18:22,12,Participant
Layla Rivera,layla.rivera@msc.com,18:37,19:37,60,Participant
Ryan Hill,ryan.hill@msc.com,18:28,20:00,92,Participant
Hannah Wright,hannah.wright@msc.com,18:12,19:09,57,Participant
Justin Flores,justin.flores@msc.com,18:45,20:00,75,Participant
Natalie Collins,natalie.collins@msc.com,18:57,19:32,35,Participant
Ethan Edwards,ethan.edwards@msc.com,18:02,19:46,104,Participant
Aria Turner,aria.turner@msc.com,18:47,20:00,73,Participant
