Name,Email,Join Time,Leave Time,Duration,Role
James Williams,james.williams@msc.com,18:13,18:56,43,Participant
Sarah Johnson,sarah.johnson@msc.com,18:35,19:14,39,Participant
Michael Brown,michael.brown@msc.com,18:58,20:00,62,Participant
Emily Davis,emily.davis@msc.com,18:54,20:00,66,Participant
John Miller,john.miller@msc.com,18:12,19:29,77,Participant
Olivia Garcia,olivia.garcia@msc.com,18:27,20:00,93,Participant
David Martinez,david.martinez@msc.com,19:00,20:00,60,Participant
Emma Wilson,emma.wilson@msc.com,18:14,19:00,46,Participant
Daniel Anderson,daniel.anderson@msc.com,18:04,19:41,97,Participant
Sophia Thomas,sophia.thomas@msc.com,18:20,19:28,68,Participant
Robert Taylor,robert.taylor@msc.com,18:25,20:00,95,Participant
Mia Lee,mia.lee@msc.com,18:29,19:29,60,Participant
William Harris,william.harris@msc.com,18:25,19:53,88,Participant
Isabella Clark,isabella.clark@msc.com,18:47,20:00,73,Participant
Joseph Lewis,joseph.lewis@msc.com,18:16,18:55,39,Participant
Charlotte Robinson,charlotte.robinson@msc.com,18:48,20:00,72,Participant
Benjamin Young,benjamin.young@msc.com,18:17,20:00,103,Participant
Amelia Hall,amelia.hall@msc.com,18:35,18:45,10,Participant
Samuel King,samuel.king@msc.com,18:15,20:00,105,Participant
Abigail Scott,abigail.scott@msc.com,18:08,18:23,15,Participant
Alexander Green,alexander.green@msc.com,18:36,18:55,19,Participant
Harper Adams,harper.adams@msc.com,18:38,19:50,72,Participant
Christopher Baker,christopher.baker@msc.com,18:22,19:48,86,Participant
Lily Gonzalez,lily.gonzalez@msc.com,18:20,19:16,56,Participant
Matthew Nelson,matthew.nelson@msc.com,18:43,19:56,73,Participant
Chloe Carter,chloe.carter@msc.com,18:25,20:00,95,Participant
Anthony Mitchell,anthony.mitchell@msc.com,18:20,19:25,65,Participant
Grace Perez,grace.perez@msc.com,18:39,19:54,75,Participant
Joshua Moore,joshua.moore@msc.com,18:28,19:34,66,Participant
Ella White,ella.white@msc.com,18:35,18:43,8,Participant
Andrew Ramirez,andrew.ramirez@msc.com,19:00,19:10,10,Participant
Zoe Walker,zoe.walker@msc.com,18:13,19:05,52,Participant
Nicholas Allen,nicholas.allen@msc.com,18:00,18:21,21,Participant
Layla Rivera,layla.rivera@msc.com,18:49,19:34,45,Participant
Ryan Hill,ryan.hill@msc.com,18:11,19:35,84,Participant
Hannah Wright,hannah.wright@msc.com,18:28,19:34,66,Participant
Justin Flores,justin.flores@msc.com,18:58,19:23,25,Participant
Natalie Collins,natalie.collins@msc.com,18:15,19:35,80,Participant
Ethan Edwards,ethan.edwards@msc.com,18:50,19:31,41,Participant
Aria Turner,aria.turner@msc.com,18:43,20:00,77,Participant
