Name,Email,Join Time,Leave Time,Duration,Role
James Williams,james.williams@msc.com,18:37,19:29,52,Participant
Sarah Johnson,sarah.johnson@msc.com,18:38,18:47,9,Participant
Michael Brown,michael.brown@msc.com,18:29,20:00,91,Participant
Emily Davis,emily.davis@msc.com,18:07,18:57,50,Participant
John Miller,john.miller@msc.com,18:56,19:16,20,Participant
Olivia Garcia,olivia.garcia@msc.com,18:49,19:42,53,Participant
David Martinez,david.martinez@msc.com,18:54,19:23,29,Participant
Emma Wilson,emma.wilson@msc.com,18:44,19:13,29,Participant
Daniel Anderson,daniel.anderson@msc.com,18:43,18:49,6,Participant
Sophia Thomas,sophia.thomas@msc.com,19:00,20:00,60,Participant
Robert Taylor,robert.taylor@msc.com,18:40,20:00,80,Participant
Mia Lee,mia.lee@msc.com,18:20,19:39,79,Participant
William Harris,william.harris@msc.com,18:44,20:00,76,Participant
Isabella Clark,isabella.clark@msc.com,18:14,19:17,63,Participant
Joseph Lewis,joseph.lewis@msc.com,18:34,19:26,52,Participant
Charlotte Robinson,charlotte.robinson@msc.com,18:52,20:00,68,Participant
Benjamin Young,benjamin.young@msc.com,18:11,18:56,45,Participant
Amelia Hall,amelia.hall@msc.com,18:57,20:00,63,Participant
Samuel King,samuel.king@msc.com,18:23,18:59,36,Participant
Abigail Scott,abigail.scott@msc.com,18:18,19:34,76,Participant
Alexander Green,alexander.green@msc.com,18:56,19:54,58,Participant
Harper Adams,harper.adams@msc.com,18:44,19:41,57,Participant
Christopher Baker,christopher.baker@msc.com,18:28,18:47,19,Participant
Lily Gonzalez,lily.gonzalez@msc.com,18:24,19:58,94,Participant
Matthew Nelson,matthew.nelson@msc.com,18:02,19:14,72,Participant
Chloe Carter,chloe.carter@msc.com,18:02,18:11,9,Participant
Anthony Mitchell,anthony.mitchell@msc.com,18:20,18:27,7,Participant
Grace Perez,grace.perez@msc.com,18:03,19:08,65,Participant
Joshua Moore,joshua.moore@msc.com,18:05,20:00,115,Participant
Ella White,ella.white@msc.com,18:30,20:00,90,Participant
Andrew Ramirez,andrew.ramirez@msc.com,18:05,18:29,24,Participant
Zoe Walker,zoe.walker@msc.com,18:39,20:00,81,Participant
Nicholas Allen,nicholas.allen@msc.com,18:57,19:05,8,Participant
Layla Rivera,layla.rivera@msc.com,18:49,20:00,71,Participant
Ryan Hill,ryan.hill@msc.com,18:39,19:56,77,Participant
Hannah Wright,hannah.wright@msc.com,18:24,20:00,96,Participant
Justin Flores,justin.flores@msc.com,18:31,19:54,83,Participant
Natalie Collins,natalie.collins@msc.com,18:03,19:42,99,Participant
Ethan Edwards,ethan.edwards@msc.com,18:46,19:13,27,Participant
Aria Turner,aria.turner@msc.com,18:49,20:00,71,Participant
